m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu
0.2,10,0.04,-2.502989157338766,-0.9963301062199137,2.302585092994046,0.0,4.605170185988092,-1.6094379124341003,-1.6686808309106362,4.605170185988092
0.1,5,0.04,-2.7063516444666287,-1.8157735120989429,0.22314355131420976,0.0,4.605170185988092,0.0,-1.6686808309106362,4.605170185988092
0.5,10,0.08,-2.8640025028760965,-1.36323429992886,3.2188758248682006,0.0,4.605170185988092,-1.6094379124341003,-0.9755336503506908,4.605170185988092
0.5,10,0.08,-2.5966877332487495,-1.1387345280740915,3.2188758248682006,0.0,4.605170185988092,-2.3025850929940455,-0.9755336503506908,4.605170185988092
0.1,10,0.04,-2.87316072116581,-1.4432118628050323,1.6094379124341003,0.0,4.605170185988092,-2.3025850929940455,-1.6686808309106362,4.605170185988092
0.2,10,0.08,-3.243680943787172,-1.8205540835355918,2.302585092994046,0.0,4.605170185988092,-2.3025850929940455,-0.9755336503506908,4.605170185988092
0.5,10,0.08,-2.8640025028760965,-1.36323429992886,3.2188758248682006,0.0,4.605170185988092,-1.6094379124341003,-0.9755336503506908,4.605170185988092
0.5,5,0.04,-1.7610750870970602,-0.8173779583015125,1.8325814637483102,0.0,4.605170185988092,-2.3025850929940455,-1.6686808309106362,4.605170185988092
0.5,10,0.08,-2.5966877332487495,-1.1387345280740915,3.2188758248682006,0.0,4.605170185988092,-2.3025850929940455,-0.9755336503506908,4.605170185988092
0.2,10,0.04,-2.2379215796683236,-0.7799345826338292,2.302585092994046,0.0,4.605170185988092,-2.3025850929940455,-1.6686808309106362,4.605170185988092
0.5,10,0.08,-2.8640025028760965,-1.36323429992886,3.2188758248682006,0.0,4.605170185988092,-1.6094379124341003,-0.9755336503506908,4.605170185988092
0.2,5,0.04,-2.316481198186157,-1.3839131983394977,0.9162907318741551,0.0,6.214608098422191,0.0,-0.5700685422425265,6.214608098422191
0.5,5,0.04,-2.786444268530222,-1.7809144891878927,1.8325814637483102,1.6094379124341003,6.214608098422191,0.0,-0.05924291847653586,4.605170185988092
0.2,20,0.08,-4.520829037554341,-2.1972885793843067,3.6888794541139363,1.6094379124341003,6.214608098422191,-1.6094379124341003,0.6339042620834094,4.605170185988092
0.5,10,0.08,-2.8978798733864863,-1.3556953234118834,3.2188758248682006,0.0,6.214608098422191,-2.3025850929940455,0.1230786383174188,6.214608098422191
0.5,5,0.04,-3.486755270023802,-2.4422150440804375,1.8325814637483102,1.6094379124341003,6.214608098422191,-2.3025850929940455,-0.05924291847653586,4.605170185988092
0.2,10,0.04,-3.7567301210221107,-2.0931024281377186,2.302585092994046,1.6094379124341003,6.214608098422191,-2.3025850929940455,-0.05924291847653586,4.605170185988092
0.2,15,0.04,-3.6840909373821393,-1.6744245339536534,3.1135153092103742,1.6094379124341003,6.214608098422191,-1.6094379124341003,-0.05924291847653586,4.605170185988092
0.1,5,0.04,-4.054739307629741,-2.9178827383567474,0.22314355131420976,0.0,6.214608098422191,-1.6094379124341003,-0.5700685422425265,6.214608098422191
0.2,20,0.04,-3.1864086347306992,-0.9921679605472518,3.6888794541139363,1.6094379124341003,6.214608098422191,-2.3025850929940455,-0.05924291847653586,4.605170185988092
0.5,15,0.08,-3.702572781245939,-1.7012462309182883,4.029806041084529,1.6094379124341003,6.214608098422191,-2.3025850929940455,0.6339042620834094,4.605170185988092
